,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,100,IN,1563576364,91,15.34,74.49,76.84,0.94
1,Petropavlovsk-Kamchatskiy,20,RU,1563576365,77,53.05,158.65,66.2,6.71
2,Tiksi,89,RU,1563576365,42,71.64,128.87,53.07,10.71
3,Rikitea,80,PF,1563576248,59,-23.12,-134.97,66.57,13.49
4,Saint George,20,GR,1563576367,73,39.45,22.34,75.0,2.21
5,Dikson,16,RU,1563576367,79,73.51,80.55,40.65,19.98
6,Punta Arenas,75,CL,1563576368,82,-53.16,-70.91,35.6,16.11
7,Touros,48,BR,1563576368,80,-5.2,-35.46,78.45,22.08
8,Kunda,24,EE,1563576369,93,59.5,26.52,57.22,6.49
9,Provideniya,87,RU,1563576370,70,64.42,-173.23,57.94,10.18
10,Bogoroditsk,36,RU,1563576370,93,53.77,38.13,54.15,12.19
11,Huainan,9,CN,1563576371,79,32.59,117.01,80.97,3.71
12,Athabasca,98,CA,1563576372,81,54.72,-113.29,62.8,4.21
13,Launceston,40,AU,1563576372,87,-41.43,147.14,48.0,9.17
14,Dharchula,1,IN,1563576373,80,29.85,80.53,51.82,1.68
15,Butaritari,65,KI,1563576373,68,3.07,172.79,84.94,8.34
16,Hesla,1,IN,1563576373,89,24.07,85.88,76.47,5.3
17,Khatanga,52,RU,1563576373,44,71.98,102.47,69.64,8.72
18,Georgetown,40,GY,1563576374,88,6.8,-58.16,80.6,9.17
19,Saint-Philippe,40,CA,1563576374,62,45.36,-73.48,90.0,20.8
20,Albany,75,US,1563576299,52,42.65,-73.75,91.4,9.17
21,Hobart,75,AU,1563576103,75,-42.88,147.33,44.6,10.29
22,Norman Wells,40,CA,1563576136,44,65.28,-126.83,78.8,3.36
23,Cabo San Lucas,20,MX,1563576125,34,22.89,-109.91,93.2,13.87
24,Maldonado,0,UY,1563576374,93,-34.91,-54.96,55.4,2.24
25,Busselton,17,AU,1563576209,98,-33.64,115.35,43.0,26.13
26,Chokurdakh,100,RU,1563576375,70,70.62,147.9,41.74,9.13
27,Narsaq,27,GL,1563576375,59,60.91,-46.05,60.8,8.05
28,Sitka,0,US,1563576375,35,37.17,-99.65,100.99,18.01
29,Hilo,75,US,1563576375,54,19.71,-155.08,84.2,10.29
30,Hithadhoo,93,MV,1563576375,76,-0.6,73.08,83.14,18.25
31,Kenitra,75,MA,1563576375,83,34.26,-6.57,72.0,12.75
32,Russell,1,US,1563576375,28,38.9,-98.86,104.0,28.86
33,East London,30,ZA,1563576116,58,-33.02,27.91,48.4,24.7
34,Tasiilaq,99,GL,1563576376,81,65.61,-37.64,46.4,8.05
35,Ayodhya,0,IN,1563576376,64,26.8,82.21,87.1,5.01
36,Ushuaia,40,AR,1563576187,55,-54.81,-68.31,39.2,8.05
37,Kapaa,75,US,1563576376,70,22.08,-159.32,86.0,14.99
38,Qaqortoq,27,GL,1563576376,59,60.72,-46.03,60.8,8.05
39,Saint-Augustin,75,CA,1563576376,70,45.63,-73.98,89.01,11.41
40,Port Blair,95,IN,1563576377,77,11.67,92.75,81.87,11.39
41,New Norfolk,75,AU,1563576377,75,-42.78,147.06,44.6,10.29
42,Salinas,1,US,1563576377,60,36.67,-121.66,81.0,14.99
43,Khani,90,GE,1563576377,100,41.96,42.96,71.6,2.24
44,Sobolevo,47,RU,1563576377,87,54.43,31.9,54.52,11.32
45,Ostrovnoy,45,RU,1563576377,96,68.05,39.51,40.12,7.47
46,Airai,0,TL,1563576378,53,-8.93,125.41,76.84,1.54
47,Katsuura,75,JP,1563576378,94,33.93,134.5,77.0,14.99
48,Carnarvon,61,ZA,1563576269,84,-30.97,22.13,37.42,11.61
49,Ballina,98,IE,1563576378,95,54.11,-9.15,60.01,3.0
50,Hermanus,29,ZA,1563576378,99,-34.42,19.24,48.99,1.01
51,Mareeba,0,AU,1563576378,72,-16.99,145.42,59.0,13.87
52,Tuatapere,100,NZ,1563576353,97,-46.13,167.69,46.99,5.99
53,Mataura,100,NZ,1563576378,97,-46.19,168.86,46.99,5.99
54,Bethel,90,US,1563576379,87,60.79,-161.76,57.2,12.75
55,Avarua,13,CK,1563576312,88,-21.21,-159.78,75.2,5.82
56,Thunder Bay,75,CA,1563576379,69,48.41,-89.26,79.0,6.93
57,Haines Junction,77,CA,1563576379,53,60.75,-137.51,65.67,11.05
58,Sovetskiy,1,RU,1563576379,94,56.76,48.47,56.67,5.41
59,Baculin,38,PH,1563576379,60,7.45,126.58,81.15,1.48
60,Grand Gaube,75,MU,1563576379,78,-20.01,57.66,71.6,12.75
61,Manturovo,15,RU,1563576380,98,58.33,44.76,53.8,3.67
62,Saskylakh,96,RU,1563576380,40,71.97,114.09,64.6,14.9
63,Upington,0,ZA,1563576380,62,-28.46,21.24,51.8,5.82
64,Bereda,75,ES,1563576380,100,43.27,-7.54,64.99,3.36
65,Yellowknife,75,CA,1563576302,42,62.45,-114.38,68.0,9.17
66,Jablah,40,SY,1563576380,78,35.36,35.93,75.2,2.24
67,Lokachi,80,UA,1563576380,78,50.74,24.65,59.0,6.06
68,Morro Agudo,0,BR,1563576380,43,-20.73,-48.05,69.8,6.93
69,Clyde River,40,CA,1563576381,81,70.47,-68.59,46.4,4.7
70,Sao Jose da Coroa Grande,55,BR,1563576381,95,-8.9,-35.15,70.17,5.19
71,Bambanglipuro,99,ID,1563576381,90,-7.95,110.28,75.94,15.43
72,Pochutla,75,MX,1563576381,62,15.74,-96.47,87.8,0.63
73,Nong Phai,93,TH,1563576381,92,16.0,101.06,77.74,2.86
74,Pacific Grove,1,US,1563576382,60,36.62,-121.92,73.99,14.99
75,Avera,1,US,1563576382,74,33.19,-82.53,93.2,6.93
76,Umm Lajj,0,SA,1563576382,78,25.02,37.27,85.84,12.44
77,Atuona,100,PF,1563576382,67,-9.8,-139.03,80.44,9.1
78,Pevek,100,RU,1563576382,98,69.7,170.27,31.84,7.78
79,Shelburne,75,CA,1563576382,66,44.08,-80.2,87.8,11.41
80,Zonguldak,0,TR,1563576382,74,41.25,31.83,73.95,14.92
81,Naze,100,NG,1563576383,97,5.43,7.07,71.97,3.04
82,Kawalu,99,ID,1563576383,96,-7.38,108.21,68.37,3.22
83,Kavieng,4,PG,1563576322,76,-2.57,150.8,83.85,13.47
84,Biloela,0,AU,1563576383,45,-24.4,150.51,63.87,9.69
85,Chuy,20,UY,1563576213,89,-33.69,-53.46,56.14,7.54
86,Lebu,75,ET,1563576383,93,8.96,38.73,53.6,4.7
